UserID,Age,Gender,Daily_ScreenTime_Hours,SocialMedia_Min,Gaming_Min,Study_Min,Sleep_Hours,Device Type,Calls_Min,Messages_Sent,Battery_Drain_Percent,Record_Type,Total_Tracked_App_Min,Social_Ratio,Gaming_Ratio,Study_Ratio,Communication_Intensity,Sleep_Deficit,Usage_Intensity_Score,Usage_Level,Total_Tracked_Activity_Hours,User_Cluster,Cluster_Name
1,19,Female,9.98,229,105,267,5.6,Android,5,299,26,Original,601,0.381,0.175,0.444,104.7,2.4,81.7,High,10.1,3,Group D
2,32,Male,10.91,167,157,182,6.2,iPhone,65,108,32,Original,506,0.33,0.31,0.36,101.0,1.8,79.5,High,9.516666666666667,3,Group D
3,41,Female,4.84,230,146,12,5.6,iPhone,83,18,11,Original,388,0.593,0.376,0.031,89.0,2.4,52.8,Moderate,7.85,1,Group B
4,27,Male,2.66,55,144,278,6.7,Android,91,292,5,Original,477,0.115,0.302,0.583,188.3,1.3,37.5,Moderate,9.466666666666669,0,Group A
5,23,Male,3.89,126,119,216,4.2,iPhone,74,183,36,Original,461,0.273,0.258,0.469,135.0,3.8,50.1,Moderate,8.916666666666666,0,Group A
6,20,Female,5.98,15,62,285,5.7,Android,3,129,17,Original,362,0.041,0.171,0.787,46.0,2.3,37.4,Moderate,6.083333333333333,0,Group A
7,41,Female,10.09,108,18,272,6.5,Android,78,27,34,Original,398,0.271,0.045,0.683,87.0,1.5,57.7,Moderate,7.933333333333334,2,Group C
8,33,Male,10.54,133,91,61,7.6,Android,5,67,27,Original,285,0.467,0.319,0.214,27.3,0.4,67.2,High,4.833333333333333,2,Group C
9,19,Female,1.57,46,57,83,5.6,iPhone,117,147,23,Original,186,0.247,0.306,0.446,166.0,2.4,25.1,Low,5.05,0,Group A
10,38,Female,6.86,33,89,216,4.8,Android,112,157,36,Original,338,0.098,0.263,0.639,164.3,3.2,50.1,Moderate,7.5,0,Group A
11,31,Female,5.88,102,116,186,4.5,Android,93,149,34,Original,404,0.252,0.287,0.46,142.7,3.5,53.7,Moderate,8.283333333333333,0,Group A
12,35,Male,3.83,55,61,18,9.6,Android,119,229,33,Original,134,0.41,0.455,0.134,195.3,0.0,39.9,Moderate,4.216666666666667,1,Group B
13,23,Male,2.76,190,22,176,6.5,iPhone,101,108,33,Original,388,0.49,0.057,0.454,137.0,1.5,39.9,Moderate,8.15,2,Group C
14,23,Male,5.04,104,126,99,7.5,iPhone,50,108,34,Original,329,0.316,0.383,0.301,86.0,0.5,50.2,Moderate,6.316666666666666,1,Group B
15,36,Male,11.4,108,136,232,9.5,iPhone,61,43,20,Original,476,0.227,0.286,0.487,75.3,0.0,69.5,High,8.95,3,Group D
16,33,Male,4.89,197,139,75,4.5,iPhone,56,202,23,Original,411,0.479,0.338,0.182,123.3,3.5,58.8,High,7.783333333333333,1,Group B
17,16,Male,6.95,234,128,264,9.3,iPhone,65,138,22,Original,626,0.374,0.204,0.422,111.0,0.0,66.3,High,11.516666666666667,3,Group D
18,20,Male,8.88,125,57,283,7.3,Android,78,71,5,Original,465,0.269,0.123,0.609,101.7,0.7,52.1,Moderate,9.05,2,Group C
19,36,Male,5.32,200,121,205,5.0,iPhone,74,183,18,Original,526,0.38,0.23,0.39,135.0,3.0,57.3,Moderate,10.0,3,Group D
20,15,Male,11.7,222,0,222,6.5,iPhone,7,46,6,Original,444,0.5,0.0,0.5,22.3,1.5,65.4,High,7.516666666666667,2,Group C
21,34,Female,11.61,169,33,51,8.7,iPhone,25,19,32,Original,253,0.668,0.13,0.202,31.3,0.0,69.0,High,4.633333333333334,2,Group C
22,33,Male,4.14,224,95,143,6.9,Android,50,115,34,Original,462,0.485,0.206,0.31,88.3,1.1,54.4,Moderate,8.533333333333333,1,Group B
23,14,Female,6.72,170,125,68,9.9,iPhone,44,161,8,Original,363,0.468,0.344,0.187,97.7,0.0,57.2,Moderate,6.783333333333333,1,Group B
24,36,Female,4.66,76,117,98,6.3,iPhone,43,293,5,Original,291,0.261,0.402,0.337,140.7,1.7,44.6,Moderate,5.566666666666666,1,Group B
25,24,Female,4.49,137,47,24,8.5,Android,4,235,12,Original,208,0.659,0.226,0.115,82.3,0.0,43.0,Moderate,3.533333333333333,1,Group B
26,42,Male,1.89,27,88,52,6.4,iPhone,69,161,33,Original,167,0.162,0.527,0.311,122.7,1.6,30.3,Low,3.933333333333333,1,Group B
27,18,Male,7.9,34,116,150,9.0,Android,25,42,7,Original,300,0.113,0.387,0.5,39.0,0.0,45.3,Moderate,5.416666666666667,0,Group A
28,14,Male,6.78,232,128,143,7.4,Android,117,101,36,Original,503,0.461,0.254,0.284,150.7,0.6,67.8,High,10.333333333333334,3,Group D
29,44,Male,2.04,63,15,56,4.4,Android,67,293,14,Original,134,0.47,0.112,0.418,164.7,3.6,27.4,Low,3.35,0,Group A
30,40,Female,4.43,67,68,38,4.2,Android,18,258,14,Original,173,0.387,0.393,0.22,104.0,3.8,40.0,Moderate,3.183333333333333,1,Group B
31,33,Male,11.04,76,21,108,4.8,Android,83,200,23,Original,205,0.371,0.102,0.527,149.7,3.2,61.9,High,4.8,2,Group C
32,13,Male,4.02,113,92,180,4.1,iPhone,96,90,38,Original,385,0.294,0.239,0.468,126.0,3.9,44.7,Moderate,8.016666666666667,0,Group A
33,24,Male,3.02,183,75,41,4.5,Android,19,14,37,Original,299,0.612,0.251,0.137,23.7,3.5,42.5,Moderate,5.3,1,Group B
34,38,Male,6.64,33,153,185,8.2,Android,112,9,27,Original,371,0.089,0.412,0.499,115.0,0.0,47.4,Moderate,8.05,0,Group A
35,34,Male,11.85,123,143,222,7.2,iPhone,11,127,32,Original,488,0.252,0.293,0.455,53.3,0.8,78.8,High,8.316666666666666,3,Group D
36,41,Female,4.04,41,178,121,8.5,Android,46,122,36,Original,340,0.121,0.524,0.356,86.7,0.0,46.5,Moderate,6.433333333333334,1,Group B
37,24,Male,8.56,184,85,132,9.5,iPhone,0,298,11,Original,401,0.459,0.212,0.329,99.3,0.0,67.2,High,6.683333333333334,2,Group C
38,37,Female,9.5,95,28,162,7.5,iPhone,89,163,33,Original,285,0.333,0.098,0.568,143.3,0.5,59.6,High,6.233333333333333,2,Group C
39,29,Male,4.0,160,68,214,8.4,iPhone,13,232,12,Original,442,0.362,0.154,0.484,90.3,0.0,44.7,Moderate,7.583333333333333,0,Group A
40,39,Female,9.15,203,46,220,8.5,Android,63,220,5,Original,469,0.433,0.098,0.469,136.3,0.0,63.6,High,8.866666666666667,2,Group C
41,39,Male,5.36,136,93,234,6.3,Android,37,188,7,Original,463,0.294,0.201,0.505,99.7,1.7,47.2,Moderate,8.333333333333334,0,Group A
42,43,Male,8.14,164,143,145,5.4,Android,36,19,28,Original,452,0.363,0.316,0.321,42.3,2.6,63.7,High,8.133333333333333,3,Group D
43,22,Female,8.15,139,175,238,5.2,iPhone,10,161,27,Original,552,0.252,0.317,0.431,63.7,2.8,68.8,High,9.366666666666667,3,Group D
44,44,Female,7.13,227,84,75,5.5,Android,99,140,12,Original,386,0.588,0.218,0.194,145.7,2.5,60.3,High,8.083333333333334,1,Group B
45,40,Female,2.45,26,38,8,5.6,Android,76,265,7,Original,72,0.361,0.528,0.111,164.3,2.4,25.1,Low,2.466666666666667,1,Group B
46,40,Male,10.27,113,99,73,5.2,Android,106,161,37,Original,285,0.396,0.347,0.256,159.7,2.8,70.8,High,6.516666666666667,3,Group D
47,28,Female,4.87,170,32,252,9.3,iPhone,2,51,32,Original,454,0.374,0.07,0.555,19.0,0.0,44.8,Moderate,7.6,2,Group C
48,27,Male,3.46,146,100,229,8.5,iPhone,32,177,12,Original,475,0.307,0.211,0.482,91.0,0.0,42.4,Moderate,8.45,0,Group A
49,42,Male,1.93,52,22,6,4.3,Android,5,134,38,Original,80,0.65,0.275,0.075,49.7,3.7,27.4,Low,1.4166666666666667,1,Group B
50,42,Female,7.7,185,9,173,5.6,Android,49,99,39,Original,367,0.504,0.025,0.471,82.0,2.4,58.1,High,6.933333333333334,2,Group C
51,27,Female,8.61,48,68,140,4.1,Android,119,119,36,Original,256,0.188,0.266,0.547,158.7,3.9,54.9,Moderate,6.25,2,Group C
52,42,Male,1.67,230,99,167,7.0,Android,9,247,28,Original,496,0.464,0.2,0.337,91.3,1.0,48.9,Moderate,8.416666666666666,1,Group B
53,31,Male,6.88,179,33,169,6.9,iPhone,4,296,18,Original,381,0.47,0.087,0.444,102.7,1.1,57.8,Moderate,6.416666666666667,2,Group C
54,24,Female,3.88,35,179,282,9.0,iPhone,22,286,36,Original,496,0.071,0.361,0.569,117.3,0.0,50.9,Moderate,8.633333333333333,0,Group A
55,35,Female,8.27,108,137,121,5.8,iPhone,9,287,20,Original,366,0.295,0.374,0.331,104.7,2.2,66.0,High,6.25,3,Group D
56,32,Female,3.33,59,146,193,8.9,iPhone,43,73,8,Original,398,0.148,0.367,0.485,67.3,0.0,34.0,Moderate,7.35,0,Group A
57,44,Male,8.75,162,95,4,9.8,Android,1,152,25,Original,261,0.621,0.364,0.015,51.7,0.0,65.5,High,4.366666666666666,1,Group B
58,37,Male,5.56,161,0,28,4.5,Android,12,15,18,Original,189,0.852,0.0,0.148,17.0,3.5,39.3,Moderate,3.35,2,Group C
59,15,Male,11.34,22,68,164,8.8,Android,39,258,35,Original,254,0.087,0.268,0.646,125.0,0.0,67.4,High,4.883333333333334,2,Group C
60,17,Male,2.94,69,3,135,7.5,iPhone,1,42,22,Original,207,0.333,0.014,0.652,15.0,0.5,23.9,Low,3.466666666666667,0,Group A
61,31,Male,5.08,144,15,144,6.9,Android,83,138,11,Original,303,0.475,0.05,0.475,129.0,1.1,39.6,Moderate,6.433333333333334,2,Group C
62,19,Male,2.69,66,23,216,6.5,iPhone,64,204,14,Original,305,0.216,0.075,0.708,132.0,1.5,27.8,Low,6.15,0,Group A
63,33,Female,11.21,45,79,131,8.7,iPhone,62,27,11,Original,255,0.176,0.31,0.514,71.0,0.0,56.0,Moderate,5.283333333333333,2,Group C
64,21,Male,10.71,182,1,291,7.8,Android,100,222,37,Original,474,0.384,0.002,0.614,174.0,0.2,72.1,High,9.566666666666666,2,Group C
65,19,Male,4.21,29,127,69,8.8,Android,72,145,27,Original,225,0.129,0.564,0.307,120.3,0.0,40.4,Moderate,4.95,1,Group B
66,30,Male,8.43,74,159,251,9.4,Android,16,108,25,Original,484,0.153,0.329,0.519,52.0,0.0,60.9,High,8.333333333333334,3,Group D
67,16,Female,10.08,17,83,274,7.7,iPhone,8,214,23,Original,374,0.045,0.222,0.733,79.3,0.3,59.0,High,6.366666666666666,0,Group A
68,37,Male,7.33,153,151,181,9.9,Android,74,115,23,Original,485,0.315,0.311,0.373,112.3,0.0,62.4,High,9.316666666666666,3,Group D
69,40,Male,7.06,151,139,166,7.6,iPhone,14,108,33,Original,456,0.331,0.305,0.364,50.0,0.4,62.5,High,7.833333333333333,3,Group D
70,26,Female,4.04,213,177,90,7.8,Android,23,175,22,Original,480,0.444,0.369,0.188,81.3,0.2,59.0,High,8.383333333333333,1,Group B
71,30,Male,2.48,124,162,201,7.3,iPhone,37,137,6,Original,487,0.255,0.333,0.413,82.7,0.7,39.2,Moderate,8.733333333333333,0,Group A
72,38,Male,10.92,224,123,18,4.5,iPhone,118,297,5,Original,365,0.614,0.337,0.049,217.0,3.5,81.0,High,8.05,1,Group B
73,21,Male,10.95,152,32,38,8.4,Android,34,131,9,Original,222,0.685,0.144,0.171,77.7,0.0,63.0,High,4.266666666666667,2,Group C
74,38,Male,8.15,101,160,125,7.3,iPhone,93,110,24,Original,386,0.262,0.415,0.324,129.7,0.7,62.0,High,7.983333333333333,3,Group D
75,33,Male,5.06,107,178,172,6.7,iPhone,94,96,15,Original,457,0.234,0.389,0.376,126.0,1.3,49.7,Moderate,9.183333333333334,3,Group D
76,14,Female,5.17,75,170,140,9.5,Android,48,291,6,Original,385,0.195,0.442,0.364,145.0,0.0,51.0,Moderate,7.216666666666667,1,Group B
77,32,Female,9.12,41,100,241,5.8,iPhone,68,55,7,Original,382,0.107,0.262,0.631,86.3,2.2,49.5,Moderate,7.5,0,Group A
78,40,Female,10.92,224,11,219,7.1,Android,61,33,27,Original,454,0.493,0.024,0.482,72.0,0.9,68.4,High,8.583333333333334,2,Group C
79,27,Male,10.81,200,66,125,8.2,iPhone,59,218,16,Original,391,0.512,0.169,0.32,131.7,0.0,74.0,High,7.5,2,Group C
80,40,Male,9.69,95,64,57,8.8,Android,107,271,24,Original,216,0.44,0.296,0.264,197.3,0.0,64.6,High,5.383333333333334,2,Group C
81,19,Male,8.24,60,160,147,6.8,Android,49,261,9,Original,367,0.163,0.436,0.401,136.0,1.2,60.2,High,6.933333333333334,3,Group D
82,24,Female,2.38,162,167,0,9.1,iPhone,77,105,34,Original,329,0.492,0.508,0.0,112.0,0.0,48.3,Moderate,6.766666666666667,1,Group B
83,41,Male,3.2,195,73,189,8.6,iPhone,116,114,13,Original,457,0.427,0.16,0.414,154.0,0.0,41.4,Moderate,9.55,0,Group A
84,20,Male,10.93,72,42,190,4.4,iPhone,119,186,38,Original,304,0.237,0.138,0.625,181.0,3.6,66.2,High,7.05,2,Group C
85,27,Female,7.87,199,43,116,4.3,iPhone,74,5,39,Original,358,0.556,0.12,0.324,75.7,3.7,59.6,High,7.2,2,Group C
86,15,Male,1.6,134,28,133,7.7,iPhone,8,59,26,Original,295,0.454,0.095,0.451,27.7,0.3,28.0,Low,5.05,0,Group A
87,26,Female,2.57,159,140,57,6.1,Android,33,153,28,Original,356,0.447,0.393,0.16,84.0,1.9,46.7,Moderate,6.483333333333333,1,Group B
88,29,Female,8.47,67,11,43,5.3,iPhone,75,141,21,Original,121,0.554,0.091,0.355,122.0,2.7,48.2,Moderate,3.2666666666666666,2,Group C
89,16,Female,1.55,67,94,172,7.5,Android,98,206,14,Original,333,0.201,0.282,0.517,166.7,0.5,29.6,Low,7.183333333333334,0,Group A
90,30,Male,3.19,95,45,159,6.0,Android,34,121,34,Original,299,0.318,0.151,0.532,74.3,2.0,36.2,Moderate,5.55,0,Group A
91,20,Male,7.26,58,129,172,7.2,iPhone,0,158,27,Original,359,0.162,0.359,0.479,52.7,0.8,54.8,Moderate,5.983333333333333,0,Group A
92,16,Male,8.76,189,34,148,6.8,Android,39,295,36,Original,371,0.509,0.092,0.399,137.3,1.2,70.3,High,6.833333333333333,2,Group C
93,14,Male,8.35,179,80,79,7.5,Android,63,67,21,Original,338,0.53,0.237,0.234,85.3,0.5,60.4,High,6.683333333333334,2,Group C
94,42,Male,3.85,79,89,212,6.4,Android,21,248,21,Original,380,0.208,0.234,0.558,103.7,1.6,42.0,Moderate,6.683333333333334,0,Group A
95,18,Male,8.98,24,7,202,8.2,Android,59,29,18,Original,233,0.103,0.03,0.867,68.7,0.0,41.7,Moderate,4.866666666666666,2,Group C
96,34,Male,3.99,63,92,251,5.1,iPhone,63,94,13,Original,406,0.155,0.227,0.618,94.3,2.9,34.3,Moderate,7.816666666666666,0,Group A
97,22,Female,4.92,197,153,228,8.2,Android,92,79,6,Original,578,0.341,0.265,0.394,118.3,0.0,51.8,Moderate,11.166666666666666,3,Group D
98,16,Male,9.34,110,89,163,6.5,iPhone,71,298,29,Original,362,0.304,0.246,0.45,170.3,1.5,68.8,High,7.216666666666667,3,Group D
99,34,Female,8.32,234,161,226,9.2,iPhone,10,214,13,Original,621,0.377,0.259,0.364,81.3,0.0,74.5,High,10.516666666666667,3,Group D
100,41,Male,10.42,17,114,146,7.1,Android,104,21,26,Original,277,0.061,0.412,0.527,111.0,0.9,57.2,Moderate,6.35,3,Group D
101,43,Male,8.4,62,104,19,9.8,iPhone,100,132,8,Original,185,0.335,0.562,0.103,144.0,0.0,51.7,Moderate,4.75,1,Group B
102,30,Male,7.47,69,134,46,7.6,iPhone,13,255,30,Original,249,0.277,0.538,0.185,98.0,0.4,60.9,High,4.366666666666666,1,Group B
103,38,Female,2.48,117,57,232,5.3,iPhone,59,183,33,Original,406,0.288,0.14,0.571,120.0,2.7,38.2,Moderate,7.75,0,Group A
104,24,Female,5.36,14,113,13,8.9,Android,29,186,38,Original,140,0.1,0.807,0.093,91.0,0.0,46.4,Moderate,2.816666666666667,1,Group B
105,14,Female,4.28,112,74,142,6.1,iPhone,34,156,27,Original,328,0.341,0.226,0.433,86.0,1.9,43.5,Moderate,6.033333333333333,0,Group A
106,22,Female,4.06,205,156,0,6.1,iPhone,84,29,15,Original,361,0.568,0.432,0.0,93.7,1.9,50.0,Moderate,7.416666666666667,1,Group B
107,42,Male,11.72,15,119,53,4.2,iPhone,36,184,10,Original,187,0.08,0.636,0.283,97.3,3.8,63.8,High,3.716666666666667,1,Group B
108,16,Female,5.63,118,163,258,7.3,Android,4,202,22,Original,539,0.219,0.302,0.479,71.3,0.7,56.8,Moderate,9.05,3,Group D
109,26,Male,10.87,233,20,143,7.2,iPhone,82,165,25,Original,396,0.588,0.051,0.361,137.0,0.8,73.6,High,7.966666666666667,2,Group C
110,43,Male,8.13,125,163,11,6.1,Android,77,181,38,Original,299,0.418,0.545,0.037,137.3,1.9,70.0,High,6.266666666666667,1,Group B
111,28,Female,9.85,103,137,223,9.4,Android,25,289,21,Original,463,0.222,0.296,0.482,121.3,0.0,71.8,High,8.133333333333333,3,Group D
112,27,Female,6.78,56,100,271,4.8,Android,61,67,29,Original,427,0.131,0.234,0.635,83.3,3.2,47.9,Moderate,8.133333333333333,0,Group A
113,20,Female,7.56,108,151,155,6.0,Android,3,154,16,Original,414,0.261,0.365,0.374,54.3,2.0,59.1,High,6.95,3,Group D
114,26,Female,6.67,64,176,7,5.9,Android,88,158,27,Original,247,0.259,0.713,0.028,140.7,2.1,57.0,Moderate,5.583333333333333,1,Group B
115,35,Female,3.55,177,98,121,4.6,Android,108,160,26,Original,396,0.447,0.247,0.306,161.3,3.4,48.1,Moderate,8.4,1,Group B
116,40,Female,9.09,61,35,163,6.9,iPhone,41,53,25,Original,259,0.236,0.135,0.629,58.7,1.1,50.1,Moderate,5.0,2,Group C
117,37,Female,4.45,153,95,89,8.1,Android,88,88,31,Original,337,0.454,0.282,0.264,117.3,0.0,48.0,Moderate,7.083333333333333,1,Group B
118,42,Female,1.76,22,151,135,7.1,iPhone,17,181,35,Original,308,0.071,0.49,0.438,77.3,0.9,35.8,Moderate,5.416666666666667,0,Group A
119,20,Male,8.28,123,150,185,4.9,iPhone,39,152,10,Original,458,0.269,0.328,0.404,89.7,3.1,61.4,High,8.283333333333333,3,Group D
120,33,Female,3.36,133,36,177,6.3,Android,71,122,31,Original,346,0.384,0.104,0.512,111.7,1.7,38.5,Moderate,6.95,0,Group A
